NAPS,Latitude,Longitude,Population,PopSize
"Mount Pearl, NL, NAPS: 10401",47.50513,-52.79476,22957,small
"Corner Brook, NL, NAPS: 10602",48.95224,-57.92207,19547,small
"Labrador City, NL, NAPS: 11002",52.945487,-66.910306,8622,small
"Charlottetown, PE, NAPS: 20104",46.233,-63.13667,44739,medium
"Wellington, PE, NAPS: 20301",46.47843,-63.98763,90932,medium
"Southampton, PE, NAPS: 20401",46.38635,-62.58272,3678,small
"Halifax, NS, NAPS: 30113",44.64711,-63.57366,316701,large
"Halifax, NS, NAPS: 30120",44.719799,-63.480754,316701,large
"Sydney, NS, NAPS: 30310",46.14222,-60.17252,29904,small
"Pictou, NS, NAPS: 30901",45.68167,-62.69664,2711,small
"Kentville, NS, NAPS: 31101",45.06725,-64.47743,12088,small
"Fredericton, NB, NAPS: 40104",45.957289,-66.645236,59405,medium
"Saint John, NB, NAPS: 40203",45.308762,-66.008384,58341,medium
"Saint John, NB, NAPS: 40207",45.252898,-66.080065,58341,medium
"Saint John, NB, NAPS: 40209",45.28028,-66.05611,58341,medium
"Moncton, NB, NAPS: 40302",46.101578,-64.789661,108620,large
"Bathurst, NB, NAPS: 41302",47.609693,-65.633509,15557,small
"Edmundston, NB, NAPS: 41501",47.363195,-68.322302,12086,small
"Laval, QC, NAPS: 50113",45.547463,-73.7483166,437413,large
"Longueuil, QC, NAPS: 50119",45.52207,-73.4881,246855,large
"Brossard, QC, NAPS: 50122",45.448663,-73.480819,85721,medium
"Terrebonne, QC, NAPS: 50137",45.70476,-73.65776,116319,large
"Gatineau, QC, NAPS: 50204",45.435987,-75.723429,284557,large
"Saint-Anicet, QC, NAPS: 54401",45.120624,-74.2896,2626,small
"Saint-Jean-Sur-Richelieu, QC, NAPS: 55301",45.29413,-73.34857,98036,medium
"Ottawa, ON, NAPS: 60104",45.43433,-75.676,989567,large
"Windsor, ON, NAPS: 60204",42.315778,-83.043667,5248,small
"Windsor, ON, NAPS: 60211",42.292889,-83.073139,5248,small
"Kingston, ON, NAPS: 60304",44.21987,-76.52113,117660,large
"Toronto, ON, NAPS: 60410",43.74792,-79.27406,5429524,large
"Toronto, ON, NAPS: 60430",43.709444,-79.5435,5429524,large
"Mississauga, ON, NAPS: 60434",43.54697,-79.658690000000007,828854,large
"Toronto, ON, NAPS: 60435",43.610761,-79.52194,5429524,large
"Toronto, ON, NAPS: 60438",43.71110556,-79.543425,5429524,large
"Toronto, ON, NAPS: 60440",43.78042,-79.46752,5429524,large
"Toronto, ON, NAPS: 60445",43.64543,-79.38908,5429524,large
"Brampton, ON, NAPS: 60450",43.669567,-79.76567,603346,large
"Hamilton, ON, NAPS: 60512",43.25778,-79.86167,693645,large
"Hamilton, ON, NAPS: 60515",43.25744,-79.90775,693645,large
"Hamilton, ON, NAPS: 60521",43.24132,-79.88941,693645,large
"Sudbury, ON, NAPS: 60610",46.49194,-81.00311,88054,medium
"Thunder Bay, ON, NAPS: 60809",48.37939,-89.29017,93952,medium
"London, ON, NAPS: 60904",42.97446,-81.20086,383437,large
"Sarnia, ON, NAPS: 61009",42.990263,-82.395341,72125,medium
"Peterborough, ON, NAPS: 61104",44.30183333,-78.34638611,82094,medium
"Cornwall, ON, NAPS: 61201",45.0179806,-74.7353139,45723,medium
"St. Catharines, ON, NAPS: 61302",43.16006,-79.23475,140370,large
"Brantford, ON, NAPS: 61402",43.13861,-80.29264,98179,medium
"Kitchener, ON, NAPS: 61502",43.44383,-80.50381,470015,large
"Oakville, ON, NAPS: 61603",43.48692,-79.70228,211382,large
"Oshawa, ON, NAPS: 61703",43.95222,-78.9125,308875,large
"Guelph, ON, NAPS: 61802",43.55163611,-80.26415556,132397,large
"North Bay, ON, NAPS: 62001",46.32323,-79.44928,50396,medium
"Simcoe, ON, NAPS: 62601",42.85685,-80.26964,13922,small
"Burlington, ON, NAPS: 63001",43.314575,-79.80275556,205960,large
"Grand Bend, ON, NAPS: 63701",43.33318611,-81.74282222,2684,small
"Barrie, ON, NAPS: 65001",44.38231389,-79.70243056,145614,large
"Newmarket, ON, NAPS: 65101",44.04431,-79.48325,84224,medium
"Parry Sound, ON, NAPS: 65201",45.33786,-80.03817,6321,small
"Port Stanley, ON, NAPS: 65301",42.67208,-81.16289,2148,small
"Belleville, ON, NAPS: 65401",44.15053,-77.3955,67666,medium
"Chatham, ON, NAPS: 65801",42.40369,-82.20831,43550,medium
"Regina, SK, NAPS: 80111",50.4527,-104.616,214631,large
"Saskatoon, SK, NAPS: 80211",52.13613,-106.66293,245181,large
"Prince Albert, SK, NAPS: 80402",53.201694,-105.75203,35102,medium
"Estevan, SK, NAPS: 80502",49.13235,-102.98499,11258,small
"Swift Current, SK, NAPS: 81001",50.285833,-107.81689,16022,small
"Buffalo Narrows, SK, NAPS: 82002",55.834566,-108.403332,1110,small
"Edmonton, AB, NAPS: 90120",53.50022,-113.526056,1062643,large
"Edmonton, AB, NAPS: 90121",53.54823,-113.36811,1062643,large
"Edmonton, AB, NAPS: 90130",53.54445,-113.49884,1062643,large
"Edmonton, AB, NAPS: 90133",53.564411,-113.562583,1062643,large
"Sherwood Park, AB, NAPS: 90134",53.532092,-113.320983,70618,medium
"Ardrossan, AB, NAPS: 90135",53.554691,-113.144905,412,rural
"St. Albert, AB, NAPS: 90136",53.626908,-113.611883,65589,medium
"Calgary, AB, NAPS: 90229",50.955122,-113.969742,1237656,large
"Calgary, AB, NAPS: 90230",51.0309,-114.0091,1237656,large
"Calgary, AB, NAPS: 90235",51.082655,-114.138827,1237656,large
"Airdrie, AB, NAPS: 90250",51.26807778,-114.0377944,61082,medium
"Red Deer, AB, NAPS: 90302",52.29867,-113.79352,99718,medium
"Red Deer, AB, NAPS: 90304",52.24095,-113.765439,99718,medium
"Medicine Hat, AB, NAPS: 90402",50.04893,-110.68116,62935,medium
"Lethbridge, AB, NAPS: 90502",49.71621,-112.8006,87572,medium
"Fort Saskatchewan, AB, NAPS: 90601",53.69874,-113.22285,23895,small
"Gibbons, AB, NAPS: 90607",53.827241,-113.327174,2661,small
"Redwater, AB, NAPS: 90608",53.95183,-113.105857,1591,small
"Bruderheim, AB, NAPS: 90609",53.805629,-112.925851,1308,small
"Fort Mcmurray, AB, NAPS: 90701",56.73341,-111.39047,66573,medium
"Fort Mcmurray, AB, NAPS: 90702",56.75139,-111.47662,66573,medium
"Wapasu, AB, NAPS: 90807",57.26176,-111.037,0,rural
"Conklin, AB, NAPS: 90808",55.621408,-111.17269,185,rural
"Elk Island, AB, NAPS: 91101",53.68238,-112.86812,0,rural
"Tomahawk, AB, NAPS: 91301",53.37255,-114.76835,65,rural
"Violet Grove, AB, NAPS: 91401",53.14222,-115.13806,141,rural
"Beaverlodge, AB, NAPS: 91501",55.19634,-119.39682,2327,small
"Carrot Creek, AB, NAPS: 91601",53.621062,-115.869155,15,rural
"Steeper, AB, NAPS: 91701",53.1325,-117.09111,0,rural
"Fort Chipewyan, AB, NAPS: 91801",58.70879,-111.17683,852,rural
"Caroline, AB, NAPS: 91901",51.94687,-114.69744,512,rural
"Grande Prairie, AB, NAPS: 92001",55.1766,-118.8078,62320,medium
"Lamont, AB, NAPS: 92201",53.76036,-112.88017,1347,small
"Breton, AB, NAPS: 92601",53.0903,-114.46061,574,rural
"Edson, AB, NAPS: 92901",53.593771,-116.395822,8148,small
"Genesee, AB, NAPS: 93101",53.3016,-114.2211,0,rural
"Hinton, AB, NAPS: 93202",53.427301,-117.544067,9205,small
"Cold Lake, AB, NAPS: 94301",54.41401389,-110.2329389,6678,small
"St Lina, AB, NAPS: 94401",54.2165,-111.5026,0,rural
"Anzac, AB, NAPS: 94601",56.44928,-111.03722,548,rural
"Agassiz, BC, NAPS: 100143",49.238008,-121.762264,6704,small
"Prince George, BC, NAPS: 100202",53.91472,-122.74194,65510,medium
"Victoria, BC, NAPS: 100304",48.441942,-123.363165,335696,large
"Victoria, BC, NAPS: 100308",48.42369,-123.49432,335696,large
"Kamloops, BC, NAPS: 100401",50.67477,-120.334016,78026,medium
"Kelowna, BC, NAPS: 100703",49.862119,-119.467461,151957,large
"Squamish, BC, NAPS: 101603",49.70516,-123.15133,17587,small
"Quesnel, BC, NAPS: 101701",52.981686,-122.493227,12064,small
"Quesnel, BC, NAPS: 101705",52.97951,-122.49364,12064,small
"Nanaimo, BC, NAPS: 102102",49.20083,-123.99389,92004,medium
"Smithers, BC, NAPS: 102402",54.7785,-127.168542,5351,small
"Terrace, BC, NAPS: 102503",54.52167,-128.6075,13663,small
"Williams Lake, BC, NAPS: 102701",52.14428,-122.150391,10508,small
"Castlegar, BC, NAPS: 103502",49.317698,-117.661527,9023,small
"Mission, BC, NAPS: 103602",49.14149,-122.311078,33261,medium
"Vernon, BC, NAPS: 104003",50.260617,-119.270723,48073,medium
"Taylor, BC, NAPS: 104301",56.150186,-120.686985,1373,small
"Duncan, BC, NAPS: 104804",48.786114,-123.717307,23278,small
"Whistler, BC, NAPS: 105001",50.144285000000004,-122.960402,8713,small
"Courtenay, BC, NAPS: 107100",49.682603,-124.996222,45018,medium
"Whitehorse, YU, NAPS: 119004",60.71972,-135.05875,21732,small
"Yellowknife, NT, NAPS: 129003",62.45207,-114.364,18884,small
"Norman Wells, NT, NAPS: 129102",65.27926,-126.813057,778,rural
"Inuvik, NT, NAPS: 129203",68.35702037,-133.7140565,3140,small
"Fort Smith, NT, NAPS: 129601",60.00455,-111.893241,2031,small
